dataset,guesser_label,examiner_label,turn,remaining_entropy,n
common,GPT-5-mini,GPT-5-mini,1,3.7979170959781663,111
common,GPT-5-mini,GPT-5-mini,2,3.5770433333703746,111
common,GPT-5-mini,GPT-5-mini,3,3.239161118497534,111
common,GPT-5-mini,GPT-5-mini,4,2.90201036552286,111
common,GPT-5-mini,GPT-5-mini,5,2.6366011786345505,111
common,GPT-5-mini,GPT-5-mini,6,2.4436978494716786,111
common,GPT-5-mini,GPT-5-mini,7,2.265084361484883,111
common,GPT-5-mini,GPT-5-mini,8,2.0410937082282006,111
common,GPT-5-mini,GPT-5-mini,9,1.9102745249577195,109
common,GPT-5-mini,GPT-5-mini,10,1.8302271034262108,107
common,GPT-5-mini,GPT-5-mini,11,1.7423826419272537,102
common,GPT-5-mini,GPT-5-mini,12,1.668926218762632,101
common,GPT-5-mini,GPT-5-mini,13,1.6612949476431778,96
common,GPT-5-mini,GPT-5-mini,14,1.603265227317001,88
common,GPT-5-mini,GPT-5-mini,15,1.585545985841546,78
common,GPT-5-mini,GPT-5-mini,16,1.578867101319401,73
common,GPT-5-mini,GPT-5-mini,17,1.5663469861997248,69
common,GPT-5-mini,GPT-5-mini,18,1.597577559149291,67
common,GPT-5-mini,GPT-5-mini,19,1.538409588888331,67
common,GPT-5-mini,GPT-5-mini,20,1.5750129625183578,60
common,GPT-OSS-20B,GPT-5-mini,1,3.854021584179199,111
common,GPT-OSS-20B,GPT-5-mini,2,3.6002543722105385,111
common,GPT-OSS-20B,GPT-5-mini,3,3.2646317492300563,111
common,GPT-OSS-20B,GPT-5-mini,4,3.0450320144185286,111
common,GPT-OSS-20B,GPT-5-mini,5,2.8368780977849113,111
common,GPT-OSS-20B,GPT-5-mini,6,2.6989935645714347,111
common,GPT-OSS-20B,GPT-5-mini,7,2.597789993082137,111
common,GPT-OSS-20B,GPT-5-mini,8,2.4798461884727807,110
common,GPT-OSS-20B,GPT-5-mini,9,2.340000685329175,110
common,GPT-OSS-20B,GPT-5-mini,10,2.1989256177097003,108
common,GPT-OSS-20B,GPT-5-mini,11,2.103258144006958,106
common,GPT-OSS-20B,GPT-5-mini,12,2.085615147827953,102
common,GPT-OSS-20B,GPT-5-mini,13,2.0235214963855,101
common,GPT-OSS-20B,GPT-5-mini,14,2.004844993418201,99
common,GPT-OSS-20B,GPT-5-mini,15,1.9555307843075551,98
common,GPT-OSS-20B,GPT-5-mini,16,1.8657272971184102,97
common,GPT-OSS-20B,GPT-5-mini,17,1.8512476056169493,96
common,GPT-OSS-20B,GPT-5-mini,18,1.8366855443705825,94
common,GPT-OSS-20B,GPT-5-mini,19,1.8016428443562305,89
common,GPT-OSS-20B,GPT-5-mini,20,1.7691560119882566,61
common,Qwen3-30B,GPT-5-mini,1,3.856461697565611,111
common,Qwen3-30B,GPT-5-mini,2,3.534128265901088,111
common,Qwen3-30B,GPT-5-mini,3,3.2391116018488035,111
common,Qwen3-30B,GPT-5-mini,4,2.9951355359391307,111
common,Qwen3-30B,GPT-5-mini,5,2.838462880799467,111
common,Qwen3-30B,GPT-5-mini,6,2.6445592741872948,111
common,Qwen3-30B,GPT-5-mini,7,2.471464100490733,110
common,Qwen3-30B,GPT-5-mini,8,2.3705163214517477,108
common,Qwen3-30B,GPT-5-mini,9,2.2502276171905,108
common,Qwen3-30B,GPT-5-mini,10,2.202515557682791,106
common,Qwen3-30B,GPT-5-mini,11,2.2055316705167876,103
common,Qwen3-30B,GPT-5-mini,12,2.1634311105297583,98
common,Qwen3-30B,GPT-5-mini,13,2.071275243461523,96
common,Qwen3-30B,GPT-5-mini,14,2.0255432945825294,94
common,Qwen3-30B,GPT-5-mini,15,2.007565373627205,91
common,Qwen3-30B,GPT-5-mini,16,1.951262156105998,88
common,Qwen3-30B,GPT-5-mini,17,1.9820831709995639,85
common,Qwen3-30B,GPT-5-mini,18,1.9285650867843926,83
common,Qwen3-30B,GPT-5-mini,19,1.9003969513966754,82
common,Qwen3-30B,GPT-5-mini,20,1.8717262081206394,79
common,Qwen3-4B,GPT-5-mini,1,3.7958525704184436,111
common,Qwen3-4B,GPT-5-mini,2,3.539881009550524,111
common,Qwen3-4B,GPT-5-mini,3,3.3861970733971027,111
common,Qwen3-4B,GPT-5-mini,4,3.1279512431040857,111
common,Qwen3-4B,GPT-5-mini,5,2.9211325467759344,111
common,Qwen3-4B,GPT-5-mini,6,2.7002729224480406,111
common,Qwen3-4B,GPT-5-mini,7,2.5557427063852307,111
common,Qwen3-4B,GPT-5-mini,8,2.43808841430477,110
common,Qwen3-4B,GPT-5-mini,9,2.2886921883866367,109
common,Qwen3-4B,GPT-5-mini,10,2.201109159795752,107
common,Qwen3-4B,GPT-5-mini,11,2.1292049470412304,107
common,Qwen3-4B,GPT-5-mini,12,2.013887740335911,107
common,Qwen3-4B,GPT-5-mini,13,1.924322834098035,105
common,Qwen3-4B,GPT-5-mini,14,1.838450937576938,102
common,Qwen3-4B,GPT-5-mini,15,1.7751700885943626,99
common,Qwen3-4B,GPT-5-mini,16,1.7389493921335983,93
common,Qwen3-4B,GPT-5-mini,17,1.7418468110003051,91
common,Qwen3-4B,GPT-5-mini,18,1.686500255489071,87
common,Qwen3-4B,GPT-5-mini,19,1.747820595762207,76
thing,Gemini-3-flash,GPT-5-mini,1,3.8557076952494644,200
thing,Gemini-3-flash,GPT-5-mini,2,3.5705344939972514,200
thing,Gemini-3-flash,GPT-5-mini,3,3.174998215817218,200
thing,Gemini-3-flash,GPT-5-mini,4,2.825250640970763,200
thing,Gemini-3-flash,GPT-5-mini,5,2.4696684974765977,200
thing,Gemini-3-flash,GPT-5-mini,6,2.204001283669582,200
thing,Gemini-3-flash,GPT-5-mini,7,1.9508621542759812,196
thing,Gemini-3-flash,GPT-5-mini,8,1.7872788911912019,194
thing,Gemini-3-flash,GPT-5-mini,9,1.6481414094787896,192
thing,Gemini-3-flash,GPT-5-mini,10,1.5379861148078386,186
thing,Gemini-3-flash,GPT-5-mini,11,1.4275989133519515,175
thing,Gemini-3-flash,GPT-5-mini,12,1.3998754795847863,167
thing,Gemini-3-flash,GPT-5-mini,13,1.3999553593012464,157
thing,Gemini-3-flash,GPT-5-mini,14,1.3951631563536466,151
thing,Gemini-3-flash,GPT-5-mini,15,1.4214513657827805,145
thing,Gemini-3-flash,GPT-5-mini,16,1.3974246655615805,134
thing,Gemini-3-flash,GPT-5-mini,17,1.3595149023170767,125
thing,Gemini-3-flash,GPT-5-mini,18,1.339913487470536,104
thing,Gemini-3-flash,GPT-5-mini,19,1.4391355413871931,39
thing,GPT-5,GPT-5-mini,1,3.827318758689767,200
thing,GPT-5,GPT-5-mini,2,3.3988994540355635,200
thing,GPT-5,GPT-5-mini,3,3.063068607736323,200
thing,GPT-5,GPT-5-mini,4,2.6640432899256297,200
thing,GPT-5,GPT-5-mini,5,2.325650625668432,200
thing,GPT-5,GPT-5-mini,6,2.079327460303553,200
thing,GPT-5,GPT-5-mini,7,1.9228766540930966,200
thing,GPT-5,GPT-5-mini,8,1.786826461006226,197
thing,GPT-5,GPT-5-mini,9,1.7210042489928472,196
thing,GPT-5,GPT-5-mini,10,1.6119707048570489,192
thing,GPT-5,GPT-5-mini,11,1.5592394182076248,190
thing,GPT-5,GPT-5-mini,12,1.510540409506637,187
thing,GPT-5,GPT-5-mini,13,1.4574710569782885,180
thing,GPT-5,GPT-5-mini,14,1.4520419484096232,174
thing,GPT-5,GPT-5-mini,15,1.4211096302176367,163
thing,GPT-5,GPT-5-mini,16,1.3777716072623754,152
thing,GPT-5,GPT-5-mini,17,1.3182549348456207,141
thing,GPT-5,GPT-5-mini,18,1.3070833679871028,133
thing,GPT-5,GPT-5-mini,19,1.315794049807751,123
thing,GPT-5,GPT-5-mini,20,1.2875152517101809,114
thing,GPT-5-mini,GPT-5-mini,1,3.869365044280497,200
thing,GPT-5-mini,GPT-5-mini,2,3.5710738226680463,200
thing,GPT-5-mini,GPT-5-mini,3,3.1519673766480465,200
thing,GPT-5-mini,GPT-5-mini,4,2.823132850267328,200
thing,GPT-5-mini,GPT-5-mini,5,2.4611411990879137,200
thing,GPT-5-mini,GPT-5-mini,6,2.2646855762006814,199
thing,GPT-5-mini,GPT-5-mini,7,2.091115276896275,199
thing,GPT-5-mini,GPT-5-mini,8,1.9704732448992306,196
thing,GPT-5-mini,GPT-5-mini,9,1.9185782239437932,196
thing,GPT-5-mini,GPT-5-mini,10,1.8330635847201786,189
thing,GPT-5-mini,GPT-5-mini,11,1.7910248150609283,184
thing,GPT-5-mini,GPT-5-mini,12,1.7681513331061622,182
thing,GPT-5-mini,GPT-5-mini,13,1.747478471140898,173
thing,GPT-5-mini,GPT-5-mini,14,1.7550147491248205,165
thing,GPT-5-mini,GPT-5-mini,15,1.709037026564934,156
thing,GPT-5-mini,GPT-5-mini,16,1.6790105341182817,149
thing,GPT-5-mini,GPT-5-mini,17,1.6329601414247268,144
thing,GPT-5-mini,GPT-5-mini,18,1.6068448496945753,134
thing,GPT-5-mini,GPT-5-mini,19,1.5808136398297414,125
thing,GPT-5-mini,GPT-5-mini,20,1.5672574974427602,119
thing,GPT-OSS-20B,GPT-5-mini,1,3.8584476977248188,200
thing,GPT-OSS-20B,GPT-5-mini,2,3.4932048310162354,200
thing,GPT-OSS-20B,GPT-5-mini,3,3.1354843669404486,200
thing,GPT-OSS-20B,GPT-5-mini,4,2.8389736430208696,200
thing,GPT-OSS-20B,GPT-5-mini,5,2.6483967090507843,200
thing,GPT-OSS-20B,GPT-5-mini,6,2.5464029822168177,200
thing,GPT-OSS-20B,GPT-5-mini,7,2.4264161059651355,200
thing,GPT-OSS-20B,GPT-5-mini,8,2.28498661694393,199
thing,GPT-OSS-20B,GPT-5-mini,9,2.169760992592644,198
thing,GPT-OSS-20B,GPT-5-mini,10,2.105347484310546,196
thing,GPT-OSS-20B,GPT-5-mini,11,2.001253750386257,196
thing,GPT-OSS-20B,GPT-5-mini,12,1.9240297647552957,196
thing,GPT-OSS-20B,GPT-5-mini,13,1.8899744414966833,192
thing,GPT-OSS-20B,GPT-5-mini,14,1.8255168534901076,191
thing,GPT-OSS-20B,GPT-5-mini,15,1.773725426324868,189
thing,GPT-OSS-20B,GPT-5-mini,16,1.7575077935927512,186
thing,GPT-OSS-20B,GPT-5-mini,17,1.7311273986738402,183
thing,GPT-OSS-20B,GPT-5-mini,18,1.7206008357414078,178
thing,GPT-OSS-20B,GPT-5-mini,19,1.72852845201016,170
thing,GPT-OSS-20B,GPT-5-mini,20,1.7177477266541454,118
thing,Qwen3-30B,GPT-5-mini,1,3.879239367500546,200
thing,Qwen3-30B,GPT-5-mini,2,3.5293924659538543,200
thing,Qwen3-30B,GPT-5-mini,3,3.1842792916091707,200
thing,Qwen3-30B,GPT-5-mini,4,2.875844967779973,200
thing,Qwen3-30B,GPT-5-mini,5,2.6472972053240533,200
thing,Qwen3-30B,GPT-5-mini,6,2.5071003256816082,198
thing,Qwen3-30B,GPT-5-mini,7,2.427350766350906,198
thing,Qwen3-30B,GPT-5-mini,8,2.3329128256467846,196
thing,Qwen3-30B,GPT-5-mini,9,2.2201711630629397,194
thing,Qwen3-30B,GPT-5-mini,10,2.124238238234553,190
thing,Qwen3-30B,GPT-5-mini,11,2.041998799933531,185
thing,Qwen3-30B,GPT-5-mini,12,2.0306378852186775,178
thing,Qwen3-30B,GPT-5-mini,13,2.019206520587774,172
thing,Qwen3-30B,GPT-5-mini,14,1.9551892556339465,171
thing,Qwen3-30B,GPT-5-mini,15,1.9577357453926583,168
thing,Qwen3-30B,GPT-5-mini,16,1.9527046863718578,164
thing,Qwen3-30B,GPT-5-mini,17,1.9709351073426387,157
thing,Qwen3-30B,GPT-5-mini,18,1.9903741637276744,151
thing,Qwen3-30B,GPT-5-mini,19,1.9726714346215128,148
thing,Qwen3-30B,GPT-5-mini,20,1.9616006132853336,143
thing,Qwen3-4B,GPT-5-mini,1,3.8764790062283505,200
thing,Qwen3-4B,GPT-5-mini,2,3.646860189430957,200
thing,Qwen3-4B,GPT-5-mini,3,3.3321387875801816,200
thing,Qwen3-4B,GPT-5-mini,4,3.0590197730533406,200
thing,Qwen3-4B,GPT-5-mini,5,2.7992058706929956,200
thing,Qwen3-4B,GPT-5-mini,6,2.596012376934325,200
thing,Qwen3-4B,GPT-5-mini,7,2.484174190646125,198
thing,Qwen3-4B,GPT-5-mini,8,2.3302295519624403,198
thing,Qwen3-4B,GPT-5-mini,9,2.207251699964705,196
thing,Qwen3-4B,GPT-5-mini,10,2.119209679295181,195
thing,Qwen3-4B,GPT-5-mini,11,2.052088310813401,194
thing,Qwen3-4B,GPT-5-mini,12,2.0218075036007406,193
thing,Qwen3-4B,GPT-5-mini,13,1.969378627226905,189
thing,Qwen3-4B,GPT-5-mini,14,1.8986884677520703,187
thing,Qwen3-4B,GPT-5-mini,15,1.832728601303514,184
thing,Qwen3-4B,GPT-5-mini,16,1.7782077495851367,181
thing,Qwen3-4B,GPT-5-mini,17,1.741992750980299,181
thing,Qwen3-4B,GPT-5-mini,18,1.7203179919049398,174
thing,Qwen3-4B,GPT-5-mini,19,1.6667668400176674,163
